Manufacturer,Model,Type,Air Bags,Domestic,Manual,Drive Train,Price,CityMPG,HwyMPG,Weight,Cylinders,Engine Size,Horsepower,RPM,Rev,Fuel Capacity,Passengers,Length,Wheelbase,Width,U-turn
Acura,Integra,Small,None,No,Yes,Front,15.9,25,31,2705,4,1.8,140,6300,2890,13.2,5,177,102,68,37
Acura,Legend,Midsize,Both,No,Yes,Front,33.9,18,25,3560,6,3.2,200,5500,2335,18,5,195,115,71,38
Audi,90,Compact,Driver,No,Yes,Front,29.1,20,26,3375,6,2.8,172,5500,2280,16.9,5,180,102,67,37
Audi,100,Midsize,Both,No,Yes,Front,37.7,19,26,3405,6,2.8,172,5500,2535,21.1,6,193,106,70,37
BMW,535i,Midsize,Driver,No,Yes,Rear,30,22,30,3640,4,3.5,208,5700,2545,21.1,4,186,109,69,39
Buick,Century,Midsize,Driver,Yes,No,Front,15.7,22,31,2880,4,2.2,110,5200,2565,16.4,6,189,105,69,41
Buick,LeSabre,Large,Driver,Yes,No,Front,20.8,19,28,3470,6,3.8,170,4800,1570,18,6,200,111,74,42
Buick,Roadmaster,Large,Driver,Yes,No,Rear,23.7,16,25,4105,6,5.7,180,4000,1320,23,6,216,116,78,45
Buick,Riviera,Midsize,Driver,Yes,No,Front,26.3,19,27,3495,6,3.8,170,4800,1690,18.8,5,198,108,73,41
Cadillac,DeVille,Large,Driver,Yes,No,Front,34.7,16,25,3620,8,4.9,200,4100,1510,18,6,206,114,73,43
Cadillac,Seville,Midsize,Both,Yes,No,Front,40.1,16,25,3935,8,4.6,295,6000,1985,20,5,204,111,74,44
Chevrolet,Cavalier,Compact,None,Yes,Yes,Front,13.4,25,36,2490,4,2.2,110,5200,2380,15.2,5,182,101,66,38
Chevrolet,Corsica,Compact,Driver,Yes,Yes,Front,11.4,25,34,2785,4,2.2,110,5200,2665,15.6,5,184,103,68,39
Chevrolet,Camaro,Sporty,Both,Yes,Yes,Rear,15.1,19,28,3240,6,3.4,160,4600,1805,15.5,4,193,101,74,43
Chevrolet,Lumina,Midsize,None,Yes,No,Front,15.9,21,29,3195,4,2.2,110,5200,2595,16.5,6,198,108,71,40
Chevrolet,Lumina_APV,Van,None,Yes,No,Front,16.3,18,23,3715,6,3.8,170,4800,1690,20,7,178,110,74,44
Chevrolet,Astro,Van,None,Yes,No,All,16.6,15,20,4025,6,4.3,165,4000,1790,27,8,194,111,78,42
Chevrolet,Caprice,Large,Driver,Yes,No,Rear,18.8,17,26,3910,8,5,170,4200,1350,23,6,214,116,77,42
Chevrolet,Corvette,Sporty,Driver,Yes,Yes,Rear,38,17,25,3380,8,5.7,300,5000,1450,20,2,179,96,74,43
Chrylser,Concorde,Large,Both,Yes,No,Front,18.4,20,28,3515,6,3.3,153,5300,1990,18,6,203,113,74,40
Chrysler,LeBaron,Compact,Both,Yes,No,Front,15.8,23,28,3085,4,3,141,5000,2090,16,6,183,104,68,41
Chrysler,Imperial,Large,Driver,Yes,No,Front,29.5,20,26,3570,6,3.3,147,4800,1785,16,6,203,110,69,44
Dodge,Colt,Small,None,Yes,Yes,Front,9.2,29,33,2270,4,1.5,92,6000,3285,13.2,5,174,98,66,32
