FIPS,State,County,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013
1001,AL,Autauga,26341,25599,742,2.8,67565,125.217762,2,2,1
1003,AL,Baldwin,99427,96481,2946,3,71135,131.8340191,3,2,1
1005,AL,Barbour,8197,7728,469,5.7,38866,72.03009748,6,6,0
1007,AL,Bibb,8560,8262,298,3.5,50907,94.34560213,1,1,1
1009,AL,Blount,25127,24529,598,2.4,55203,102.3073502,1,1,1
1011,AL,Bullock,4606,4422,184,4,33124,61.38848734,6,6,0
1013,AL,Butler,8796,8328,468,5.3,42268,78.3350013,6,6,0
1015,AL,Calhoun,46118,44212,1906,4.1,50259,93.14466808,3,2,1
1017,AL,Chambers,15752,15173,579,3.7,39318,72.86778606,6,5,0
1019,AL,Cherokee,11808,11512,296,2.5,50388,93.38374291,6,6,0
1021,AL,Chilton,19811,19246,565,2.9,52693,97.65558397,1,1,1
1023,AL,Choctaw,4591,4391,200,4.4,41649,77.18781274,9,10,0
1025,AL,Clarke,7726,7264,462,6,44178,81.8747915,7,11,0
1027,AL,Clay,6095,5930,165,2.7,44763,82.95896809,9,10,0
1029,AL,Cleburne,5890,5739,151,2.6,50134,92.91300641,8,4,0
1031,AL,Coffee,21853,21243,610,2.8,54203,100.4540569,4,5,0
1033,AL,Colbert,23460,22524,936,4,54185,100.4206976,3,2,1
1035,AL,Conecuh,4376,4164,212,4.8,34664,64.24255903,7,11,0
1037,AL,Coosa,4343,4209,134,3.1,46509,86.19481819,8,3,0
1039,AL,Covington,15215,14756,459,3,43544,80.69980355,6,6,0
1041,AL,Crenshaw,6133,5931,202,3.3,45927,85.11620149,8,6,0
1043,AL,Cullman,38858,37943,915,2.4,51844,96.08213796,4,3,0
1045,AL,Dale,20915,20257,658,3.1,48493,89.8717521,4,5,0
1047,AL,Dallas,13959,12924,1035,7.4,37679,69.83023833,4,5,0
1049,AL,DeKalb,31097,30308,789,2.5,47156,87.39389896,6,6,0
1051,AL,Elmore,37582,36560,1022,2.7,62524,115.8753104,2,2,1
1053,AL,Escambia,14000,13425,575,4.1,41212,76.37792357,6,6,0
1055,AL,Etowah,39262,37658,1604,4.1,47872,88.72085696,3,2,1
