country,region,2020,2021,2016,2019,2022,2017,2013,2012,2018,2014,2015
Afghanistan,South Asia,39068979,40000412,34700612,37856121,40578842,35688935,31622704,30560034,36743039,32792523,33831764
Albania,Europe & Central Asia,2837849,2811666,2876101,2854191,2777689,2873457,2895092,2900401,2866376,2889104,2880703
Algeria,Middle East & North Africa,44042091,44761099,40850721,43294546,45477389,41689299,38414171,37646166,42505035,39205031,40019529
American Samoa,East Asia & Pacific,49761,49225,52245,50209,48342,51586,54006,54489,50908,53466,52878
Andorra,Europe & Central Asia,77380,78364,72181,76474,79705,73763,75194,76834,75162,73737,72174
Angola,Sub-Saharan Africa,33451132,34532429,29183070,32375632,35635029,30234839,26165620,25177394,31297155,27160769,28157798
Antigua and Barbuda,Latin America & Caribbean,91846,92349,89969,91364,92840,90468,88064,87260,90926,88765,89409
Argentina,Latin America & Caribbean,45191965,45312281,43900313,44973465,45407904,44288894,42582455,42161721,44654882,43024071,43477012
Armenia,Europe & Central Asia,2961500,2962300,2992300,2962500,2969200,2979400,3022000,3024100,2969000,3013800,3004600
Aruba,Latin America & Caribbean,108587,107700,108727,109203,107310,108735,105675,104110,108908,106807,107906
Australia,East Asia & Pacific,25649248,25685412,24190907,25334826,26014399,24592588,23128129,22733465,24963258,23475686,23815995
Austria,Europe & Central Asia,8916864,8955797,8736668,8879920,9041851,8797566,8479823,8429991,8840521,8546356,8642699
Azerbaijan,Europe & Central Asia,10093121,10137750,9757812,10024283,10141756,9854033,9416801,9295784,9939771,9535079,9649341
"Bahamas, The",Latin America & Caribbean,395863,396373,388055,394675,397538,390485,378953,375469,392717,382298,385346
Bahrain,Middle East & North Africa,1472204,1504365,1423726,1483756,1524693,1501116,1253191,1208964,1503091,1314562,1370322
Bangladesh,South Asia,166298024,167658854,160811932,164913055,169384897,162186147,156532141,155070101,163523103,157964929,159383179
Barbados,Latin America & Caribbean,281698,282147,279598,281207,282318,280171,277665,276938,280711,278348,278990
Belarus,Europe & Central Asia,9379952,9302585,9469379,9419758,9228071,9458989,9443211,9446836,9438785,9448515,9461076
Belgium,Europe & Central Asia,11538604,11586195,11331422,11488980,11680210,11375158,11159407,11106932,11427054,11209057,11274196
Belize,Latin America & Caribbean,390812,395346,364705,385829,402733,373202,341627,334414,380226,348923,356333
Benin,Sub-Saharan Africa,13070169,13413417,11697842,12726755,13759501,12039780,10708834,10397657,12383347,11030004,11360681
Bermuda,North America,64382,64648,63449,64107,64749,63578,63574,63646,63831,63529,63464
Bhutan,South Asia,770006,775442,747866,764824,780914,754335,725273,717279,759759,733139,740618
Bolivia,Latin America & Caribbean,11816299,11937360,11180020,11671386,12077154,11344587,10682608,10515807,11508368,10848888,11014705
Bosnia and Herzegovina,Europe & Central Asia,3299349,3244907,3473003,3345533,3204802,3428682,3610859,3670113,3387000,3564829,3518541
Botswana,Sub-Saharan Africa,2365894,2401441,2234776,2332083,2439892,2266747,2140682,2108617,2299141,2172044,2203273
Brazil,Latin America & Caribbean,208660842,209550294,203218114,207455459,210306415,204703445,198478299,196876111,206107261,200085127,201675532
British Virgin Islands,Latin America & Caribbean,37135,37809,33878,36395,38319,32699,31703,30345,34657,32962,34498
Brunei Darussalam,East Asia & Pacific,447404,451721,427564,442680,455370,432772,411202,405557,437810,416750,422212
Bulgaria,Europe & Central Asia,6934015,6877743,7127822,6975761,6643324,7075947,7265115,7305888,7025037,7223938,7177991
Burkina Faso,Sub-Saharan Africa,21478690,21995243,19334856,20961952,22509038,19894407,17695409,17172287,20438288,18229461,18777487
Burundi,Sub-Saharan Africa,12617036,12965481,11239451,12255336,13321097,11506762,10439341,10071028,11859446,10799785,11047580
Cabo Verde,Sub-Saharan Africa,514679,516649,512554,514104,519741,512893,512225,511955,513415,512326,512394
Cambodia,East Asia & Pacific,16725474,16974305,15852803,16481304,17201724,16073372,15170208,14945085,16274522,15396772,15623251
Cameroon,Sub-Saharan Africa,26210558,26915758,23454161,25506095,27632771,24128601,21402376,20809529,24806383,22059893,22763414
Canada,North America,38028638,38239864,36110803,37618495,38939056,36545075,35080992,34713395,37072620,35434066,35704498
Cayman Islands,Latin America & Caribbean,68684,70108,63100,67327,71591,64535,58655,57136,65941,60160,61642
Central African Republic,Sub-Saharan Africa,5026628,5112100,4713663,4944703,5098039,4793511,4642419,4610848,4878657,4623182,4629320
Chad,Sub-Saharan Africa,17224679,17828273,15114655,16685223,18455316,15622759,13691079,13210998,16156531,14188678,14647621
Channel Islands,Europe & Central Asia,166235,166741,163883,165639,167215,164319,161777,160767,164949,162726,163454
Chile,Latin America & Caribbean,19370624,19456334,18267221,19197744,19553036,18558868,17687006,17519119,18893191,17864195,18047625
China,East Asia & Pacific,1411100000,1412360000,1387790000,1407745000,1412175000,1396215000,1363240000,1354190000,1402760000,1371860000,1379860000
Colombia,Latin America & Caribbean,50629997,51188173,47437512,49907985,51737944,48131078,46151584,45715810,49024465,46565429,46969940
Comoros,Sub-Saharan Africa,802163,818174,741741,786578,834188,756669,696192,681630,771590,711503,726682
"Congo, Dem. Rep.",Sub-Saharan Africa,95989998,99148932,83956415,92947442,102396968,87083398,75789395,73254618,90047644,78403242,81035531
"Congo, Rep.",Sub-Saharan Africa,5752791,5892183,5222536,5616661,6035104,5351011,4857099,4740450,5483118,4975880,5097581
Costa Rica,Latin America & Caribbean,5034320,5059988,4866998,4999553,5081765,4913177,4716147,4663934,4957818,4767119,4818038
Cote d'Ivoire,Sub-Saharan Africa,28915449,29639736,25989405,28193009,30395002,26733372,23939775,23467078,27464173,24527395,25246342
Croatia,Europe & Central Asia,3914206,3878981,4106867,3949390,3855641,4041407,4233922,4260368,3988775,4201598,4151725
Cuba,Latin America & Caribbean,11176354,11122168,11265612,11202846,11059820,11247829,11298167,11303175,11227118,11285775,11275065
Curacao,Latin America & Caribbean,154947,152369,159664,157441,149996,160175,153822,152088,159336,155909,157980
Cyprus,Europe & Central Asia,1302247,1317309,1237112,1286671,1331370,1254275,1183895,1165397,1270737,1201801,1219502
Denmark,Europe & Central Asia,5831404,5856733,5728010,5814422,5903037,5764980,5614932,5591572,5793636,5643475,5683483
Djibouti,Middle East & North Africa,1105188,1121248,1037653,1088709,1137096,1054841,984824,966747,1071882,1002717,1020313
Dominica,Latin America & Caribbean,67573,67202,69606,67880,66826,68496,69715,69118,68174,70373,70410
Dominican Republic,Latin America & Caribbean,11008300,11123476,10551430,10894043,11230734,10666843,10193833,10070411,10782053,10315528,10434829
Ecuador,Latin America & Caribbean,17546065,17682454,16505139,17340021,17823897,16759519,15807128,15572194,17049547,16035124,16266225
"Egypt, Arab Rep.",Middle East & North Africa,109315124,110957008,101644589,107553158,112618250,103696057,95333553,93161001,105682094,97528654,99597342
El Salvador,Latin America & Caribbean,6234673,6255782,6200800,6222318,6280319,6213533,6138839,6113975,6219807,6162955,6183676
Equatorial Guinea,Sub-Saharan Africa,1716468,1758786,1508186,1670177,1803545,1562396,1346218,1293483,1616422,1399828,1453923
Eritrea,Sub-Saharan Africa,3291271,3350183,3124698,3240194,3409447,3150347,3074360,3036988,3192760,3095173,3105546
Estonia,Europe & Central Asia,1329522,1330932,1315790,1326898,1348840,1317384,1317997,1322696,1321977,1314545,1315407
Eswatini,Sub-Saharan Africa,1192729,1206593,1149507,1179874,1218917,1158195,1129990,1123863,1168929,1136299,1142813
Ethiopia,Sub-Saharan Africa,118917671,122138588,106718162,115737383,125384287,109666481,98438751,95798767,112664152,101115610,103867135
Faroe Islands,Europe & Central Asia,52571,53315,49464,51795,53952,50182,48246,48291,50998,48428,48901
Fiji,East Asia & Pacific,914963,916711,919166,914899,919422,918759,916352,914918,917180,917585,918578
Finland,Europe & Central Asia,5529543,5541017,5495303,5521606,5556106,5508214,5438972,5413971,5515525,5461512,5479531
France,Europe & Central Asia,67601110,67842811,66724104,67382061,68065015,66918020,65997932,65657659,67158348,66312067,66548272
French Polynesia,East Asia & Pacific,279209,279792,279178,279034,280378,280087,274728,273084,279815,276387,277866
Gabon,Sub-Saharan Africa,2322539,2376722,2100306,2267706,2430747,2156900,1913059,1846889,2212318,1978399,2040989
"Gambia, The",Sub-Saharan Africa,2515733,2576010,2283769,2456844,2636470,2342189,2103820,2043094,2399632,2164528,2224529
Georgia,Europe & Central Asia,3722716,3708610,3727505,3720161,3712502,3728004,3717668,3728874,3726549,3719414,3725276
Germany,Europe & Central Asia,83160871,83196078,82348669,83092962,83797985,82657002,80645605,80425823,82905782,80982500,81686611
Ghana,Sub-Saharan Africa,31887809,32518665,29356742,31258945,33149152,30008354,27386193,26734268,30637585,28041592,28696068
Gibraltar,Europe & Central Asia,36173,36858,33658,35494,37609,34245,32407,32029,34854,32813,33193
Greece,Europe & Central Asia,10698599,10569207,10775971,10721582,10436882,10754679,10965211,11045011,10732882,10892413,10820883
Greenland,Europe & Central Asia,56367,56653,56186,56225,56661,56172,56483,56810,56023,56295,56114
Grenada,Latin America & Caribbean,116341,116688,115130,115981,116913,115438,113487,112775,115691,114132,114676
Guam,East Asia & Pacific,162158,163730,164233,161808,165180,163490,165966,166331,162679,165486,164905
Guatemala,Latin America & Caribbean,17357325,17598650,16268760,17103803,17847877,16567357,15387337,15089647,16845685,15681725,15971743
Guinea,Sub-Saharan Africa,13371183,13710513,12073030,13034346,14055137,12385659,11191873,10921581,12704774,11472924,11767070
Guinea-Bissau,Sub-Saharan Africa,2013255,2058841,1831893,1967696,2105529,1877072,1695973,1651417,1922168,1741122,1786457
Guyana,Latin America & Caribbean,807481,815482,763548,807665,821637,768479,750021,746288,791556,754229,758781
Haiti,Latin America & Caribbean,11243848,11374586,10671457,11105163,11503606,10817754,10222362,10069771,10962362,10373235,10523242
Honduras,Latin America & Caribbean,10119640,10289877,9412380,9943633,10463872,9588137,8889278,8715076,9765210,9063122,9237305
"Hong Kong SAR, China",East Asia & Pacific,7481000,7413100,7336600,7507900,7346100,7393200,7178900,7150100,7452600,7229500,7291300
Hungary,Europe & Central Asia,9750149,9709891,9814023,9771141,9644377,9787966,9893082,9920362,9775564,9866468,9843028
Iceland,Europe & Central Asia,366463,372520,335439,360563,382003,343400,323764,320716,352721,327386,330815
India,South Asia,1402617695,1414203896,1343944296,1389030312,1425423212,1359657400,1295829511,1278674502,1374659064,1312277191,1328024498
Indonesia,East Asia & Pacific,274814866,276758053,264627418,272489381,278830529,267346658,255852467,252698525,269951846,258877399,261799249
"Iran, Islamic Rep.",Middle East & North Africa,87723443,88455488,83812228,87051648,89524246,85026754,80414686,79370580,86117998,81502045,82619362
Iraq,Middle East & North Africa,42116605,43071211,38469627,41192171,44070551,39337353,35281989,33654842,40265624,36550059,37560535
Ireland,Europe & Central Asia,4985382,5033164,4755335,4934340,5165700,4807388,4623816,4599533,4867316,4657740,4701957
Isle of Man,Europe & Central Asia,84064,84106,83466,83957,84132,83609,84141,84335,83805,83892,83593
Israel,Middle East & North Africa,9215100,9371400,8546000,9054000,9557500,8713300,8059500,7910500,8882800,8215700,8380100
Italy,Europe & Central Asia,59438851,59133173,60627498,59729081,59013667,60536709,60233948,59539717,60421760,60789140,60730582
Jamaica,Latin America & Caribbean,2830739,2837682,2809915,2823271,2839144,2815764,2783687,2772430,2820097,2793749,2802534
Japan,East Asia & Pacific,126261000,125681593,127076000,126633000,125124989,126972000,127445000,127629000,126811000,127276000,127141000
Jordan,Middle East & North Africa,10865228,11066356,10006367,10671891,11256263,10234226,7991809,7587127,10462306,8791710,9544729
Kazakhstan,Europe & Central Asia,19482117,19743603,18363600,19209555,20034609,18651931,17556502,17306106,18932727,17816285,18084169
Kenya,Sub-Saharan Africa,52217334,53219166,48139687,51202827,54252461,49197766,44986791,43888303,50207107,46051440,47088526
Kiribati,East Asia & Pacific,126099,128377,118478,123921,130469,120275,113838,112284,122084,115326,116815
"Korea, Dem. People's Rep.",East Asia & Pacific,26136312,26232534,25698326,26037632,26328845,25817709,25329451,25211728,25931147,25451262,25575350
"Korea, Rep.",East Asia & Pacific,51836239,51769539,51217803,51764822,51672569,51361911,50428893,50199853,51585058,50746659,51014947
Kosovo,Europe & Central Asia,1790152,1786080,1777568,1788891,1768096,1791019,1818119,1807126,1797086,1812788,1788274
Kuwait,Middle East & North Africa,4400267,4360865,4004096,4442316,4589643,4154812,3507844,3337109,4323515,3665876,3834574
Kyrgyz Republic,Europe & Central Asia,6726595.5,6851224,6175337.5,6590211,6975219.5,6306695.5,5777150,5652076,6444078.5,5905847.5,6040035.5
Lao PDR,East Asia & Pacific,7346533,7453194,6908802,7237636,7559007,7018147,6611385,6518978,7128045,6703172,6801645
Latvia,Europe & Central Asia,1900449,1884490,1959537,1913822,1879383,1942248,2012647,2034319,1927174,1993782,1977527
