country,region,Indicator,2006,2003,2004,2002,2005,2001,2000,2010,2007,2008,2009
Afghanistan,South Asia,SP.POP.TOTL,25424094,22733049,23560654,21378117,24404567,20284307,20130327,28284089,25909852,26482622,27466101
Afghanistan,South Asia,NY.GDP.PCAP.CD,274.2185536,198.8711157,221.7636539,178.9540884,254.1842491,138.7068217,174.9309914,560.6215055,376.223152,381.733238,452.0537055
Afghanistan,South Asia,SL.TLF.TOTL.IN,5937057,5259920,5459292,4947614,5672338,4703525,4685110,6822959,6089718,6273586,6563261
Afghanistan,South Asia,SL.UEM.TOTL.ZS,7.914,7.88,7.899,7.93,7.885,7.953,7.935,7.753,7.817,7.878,7.754
Albania,Europe & Central Asia,SP.POP.TOTL,2992547,3039616,3026939,3051010,3011487,3060173,3089027,2913021,2970017,2947314,2927519
Albania,Europe & Central Asia,NY.GDP.PCAP.CD,2972.743621,1846.120121,2373.581292,1425.124219,2673.787816,1281.659826,1126.68334,4094.349686,3595.038295,4370.539716,4114.134033
Albania,Europe & Central Asia,SL.TLF.TOTL.IN,1241897,1290479,1275726,1304298,1259700,1300522,1313953,1259163,1222005,1201455,1247208
Albania,Europe & Central Asia,SL.UEM.TOTL.ZS,15.626,16.985,16.306,17.891,15.966,18.57,19.023,14.086,15.966,13.06,13.674
Algeria,Middle East & North Africa,SP.POP.TOTL,33623506,32175818,32628286,31750835,33109249,31331221,30903893,36188236,34189416,34816961,35490445
Algeria,Middle East & North Africa,NY.GDP.PCAP.CD,3660.661047,2283.772993,2816.99385,1937.464114,3233.133396,1896.300209,1772.928691,4912.785855,4167.451699,5180.918815,4235.429905
Algeria,Middle East & North Africa,SL.TLF.TOTL.IN,10410056,9752688,9975430,9533572,10190322,9306534,9068833,11421278,10632096,10866131,11105183
Algeria,Middle East & North Africa,SL.UEM.TOTL.ZS,12.27,23.72,17.65,25.9,15.27,27.3,29.77,9.96,13.79,11.33,10.16
American Samoa,East Asia & Pacific,SP.POP.TOTL,56374,56971,56818,57062,56617,57053,56855,55228,56113,55828,55528
American Samoa,East Asia & Pacific,NY.GDP.PCAP.CD,8745.166211,9197.661968,8958.428667,8972.696365,8831.26976,NA,NA,10375.17201,9231.372409,10030.80891,12156.02939
American Samoa,East Asia & Pacific,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,East Asia & Pacific,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,Europe & Central Asia,SP.POP.TOTL,79585,69486,74325,66506,77421,65852,65685,80706,81877,83495,83888
Andorra,Europe & Central Asia,NY.GDP.PCAP.CD,43467.21099,34063.5784,39021.12781,26528.13016,40829.80188,23511.29515,21810.24874,42746.83095,48336.22833,49132.51571,43975.01837
Andorra,Europe & Central Asia,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,Europe & Central Asia,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,Sub-Saharan Africa,SP.POP.TOTL,20015279,17943712,18600423,17327699,19291161,16747208,16194869,23294825,20778561,21578655,22414773
Angola,Sub-Saharan Africa,NY.GDP.PCAP.CD,2617.05196,992.6989793,1266.210864,882.1478472,1916.468422,533.5862024,563.7337956,3597.342932,3141.04598,4103.0669,3136.64547
Angola,Sub-Saharan Africa,SL.TLF.TOTL.IN,8483347,7583239,7870706,7312781,8170907,7057918,6815659,9873442,8810501,9150346,9502658
Angola,Sub-Saharan Africa,SL.UEM.TOTL.ZS,16.206,16.498,16.378,16.488,16.36,16.7,16.682,16.618,16.153,16.228,16.431
Antigua and Barbuda,Latin America & Caribbean,SP.POP.TOTL,80604,77884,78719,77032,79611,76069,74912,85320,81704,82912,84173
Antigua and Barbuda,Latin America & Caribbean,NY.GDP.PCAP.CD,16172.25135,12171.37738,13036.00759,11657.34875,14366.29128,11535.77429,12021.46321,15216.30984,18203.51513,18785.46822,16471.36783
Antigua and Barbuda,Latin America & Caribbean,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,Latin America & Caribbean,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,Latin America & Caribbean,SP.POP.TOTL,39622115,38424282,38815916,38029349,39216789,37624825,37213984,41288694,40016763,40424148,40854831
Argentina,Latin America & Caribbean,NY.GDP.PCAP.CD,5869.38029,3320.477751,4242.020991,2569.699635,5067.653423,7141.475077,7637.014892,10260.13131,7185.251551,8944.110266,8150.23527
Argentina,Latin America & Caribbean,SL.TLF.TOTL.IN,17955872,17006209,17502349,16524914,17624307,16712140,16660492,18468692,18001087,18041663,18399678
Argentina,Latin America & Caribbean,SL.UEM.TOTL.ZS,10.078,15.36,13.522,19.59,11.506,17.32,15,7.714,8.47,7.837,8.645
Armenia,Europe & Central Asia,SP.POP.TOTL,3127100,3182500,3164900,3199800,3146400,3211800,3221100,3044800,3107400,3087100,3066000
Armenia,Europe & Central Asia,NY.GDP.PCAP.CD,2041.652671,882.0301677,1130.087914,742.6511183,1557.484589,659.5889885,593.4505817,3041.344507,2962.702346,3777.668593,2820.592655
Armenia,Europe & Central Asia,SL.TLF.TOTL.IN,1499845,1492557,1493704,1491404,1496085,1484639,1467361,1510718,1504185,1501199,1515902
Armenia,Europe & Central Asia,SL.UEM.TOTL.ZS,10.465,10.705,10.617,10.833,10.54,10.992,11.095,19.523,10.394,17.1,19.295
Aruba,Latin America & Caribbean,SP.POP.TOTL,99405,93128,95138,92074,97635,91439,90588,101838,100150,100917,101604
Aruba,Latin America & Caribbean,NY.GDP.PCAP.CD,24845.65848,21949.486,23700.63199,21307.24825,24171.83713,20740.13258,20681.02303,24093.14015,26736.30894,28171.9094,25134.77123
Aruba,Latin America & Caribbean,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,Latin America & Caribbean,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,East Asia & Pacific,SP.POP.TOTL,20450966,19720737,19932722,19495210,20176844,19274701,19028802,22031750,20827622,21249199,21691653
Australia,East Asia & Pacific,NY.GDP.PCAP.CD,36595.70715,23718.13385,30836.73068,20301.84317,34479.76793,19695.72974,21870.41597,52144.66547,41051.61207,49701.28178,42816.5674
Australia,East Asia & Pacific,SL.TLF.TOTL.IN,10664324,10032150,10143548,9859433,10443456,9713101,9542614,11675443,10951719,11241263,11482552
Australia,East Asia & Pacific,SL.UEM.TOTL.ZS,4.785,5.933,5.399,6.375,5.036,6.747,6.288,5.214,4.381,4.242,5.565
Austria,Europe & Central Asia,SP.POP.TOTL,8268641,8121423,8171966,8081957,8227829,8042293,8011566,8363404,8295487,8321496,8343323
Austria,Europe & Central Asia,NY.GDP.PCAP.CD,40382.20783,32110.11597,36614.25065,26334.86222,38157.37023,24430.49598,24487.29747,46611.13934,46622.96229,51581.39824,47857.44466
Austria,Europe & Central Asia,SL.TLF.TOTL.IN,4078846,3985902,3946181,3955409,4012358,3872867,3883391,4265488,4165230,4207426,4248651
Austria,Europe & Central Asia,SL.UEM.TOTL.ZS,5.32,4.779,5.969,4.852,5.682,4.007,4.687,4.883,4.909,4.198,5.371
Azerbaijan,Europe & Central Asia,SP.POP.TOTL,8484550,8234100,8306500,8171950,8391850,8111200,8048600,9054332,8581300,8763400,8947243
Azerbaijan,Europe & Central Asia,NY.GDP.PCAP.CD,2472.957257,883.6925807,1045.013633,763.1088955,1578.36733,703.6709986,655.0972496,5843.533768,3851.330152,5574.468104,4950.39949
